City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Dikson,RU,2021-10-11 21:18:50,73.5069,80.5464,30.94,67,100,13.82
1,Port Maria,JM,2021-10-11 21:18:50,18.3685,-76.8895,85.96,79,32,6.2
2,Mataura,NZ,2021-10-11 21:13:51,-46.1927,168.8643,43.48,89,99,8.43
3,Punta Arenas,CL,2021-10-11 21:14:04,-53.15,-70.9167,53.71,50,40,26.46
4,Peniche,PT,2021-10-11 21:18:51,39.3558,-9.3811,76.62,54,100,10.36
5,Coolum Beach,AU,2021-10-11 21:18:51,-26.5333,153.1,67.1,98,100,6.87
6,Ushuaia,AR,2021-10-11 21:18:51,-54.8,-68.3,51.46,46,40,17.27
7,Acapulco,MX,2021-10-11 21:17:33,16.8634,-99.8901,85.82,20,1,4.61
8,Kodiak,US,2021-10-11 21:18:52,57.79,-152.4072,44.11,76,90,17.27
9,Nikolskoye,RU,2021-10-11 21:18:52,59.7035,30.7861,42.87,70,41,9.04
10,Banepa,NP,2021-10-11 21:18:53,27.6298,85.5214,66.52,94,20,2.3
11,Bubaque,GW,2021-10-11 21:18:14,11.2833,-15.8333,83.19,76,99,9.06
12,Puerto Madryn,AR,2021-10-11 21:18:53,-42.7692,-65.0385,62.38,46,100,13.02
13,Tuktoyaktuk,CA,2021-10-11 21:18:53,69.4541,-133.0374,30.2,86,90,3.44
14,Qaanaaq,GL,2021-10-11 21:18:54,77.484,-69.3632,30.18,96,100,8.23
15,Zhanaozen,KZ,2021-10-11 21:18:54,43.3,52.8,51.75,36,42,11.14
16,Tezu,IN,2021-10-11 21:18:36,27.9167,96.1667,75.7,64,0,3.65
17,Masuguru,TZ,2021-10-11 21:18:55,-11.3667,38.4167,78.04,61,66,6.85
18,Comodoro Rivadavia,AR,2021-10-11 21:18:55,-45.8667,-67.5,71.46,21,0,19.57
19,Luau,AO,2021-10-11 21:18:55,-10.7073,22.2247,78.46,38,100,2.73
20,Juneau,US,2021-10-11 21:16:57,58.3019,-134.4197,44.65,91,90,19.57
21,Denpasar,ID,2021-10-11 21:14:05,-8.65,115.2167,74.86,88,20,3.44
22,Kapaa,US,2021-10-11 21:18:18,22.0752,-159.319,82.38,69,20,5.99
23,Nantucket,US,2021-10-11 21:18:10,41.2835,-70.0995,66.96,77,90,12.66
24,Khatanga,RU,2021-10-11 21:14:47,71.9667,102.5,16.21,96,100,7.02
25,Hermanus,ZA,2021-10-11 21:18:56,-34.4187,19.2345,61.9,80,100,2.08
26,Butaritari,KI,2021-10-11 21:18:57,3.0707,172.7902,81.14,73,96,10.29
27,Pogar,RU,2021-10-11 21:18:57,52.554,33.2591,42.24,68,100,5.75
28,Bathsheba,BB,2021-10-11 21:18:57,13.2167,-59.5167,86.61,70,20,10.36
29,Yellowknife,CA,2021-10-11 21:18:58,62.456,-114.3525,35.42,84,75,6.91
30,Awjilah,LY,2021-10-11 21:18:58,29.1081,21.2869,78.66,26,0,5.44
31,Naples,IT,2021-10-11 21:18:59,40.8333,14.25,60.85,75,0,3.0
32,Hilo,US,2021-10-11 21:18:59,19.7297,-155.09,83.28,87,90,8.05
33,Rio Grande,BR,2021-10-11 21:18:59,-32.035,-52.0986,64.51,92,100,22.08
34,Berlevag,NO,2021-10-11 21:19:00,70.8578,29.0864,44.55,93,75,13.8
35,Luanda,AO,2021-10-11 21:14:11,-8.8368,13.2343,73.9,84,67,7.9
36,Provideniya,RU,2021-10-11 21:19:00,64.3833,-173.3,32.11,80,75,6.71
37,Geraldton,AU,2021-10-11 21:19:01,-28.7667,114.6,55.81,62,90,12.66
38,Egvekinot,RU,2021-10-11 21:19:01,66.3167,-179.1667,16.05,88,44,5.12
39,Severo-Kurilsk,RU,2021-10-11 21:19:02,50.6789,156.125,46.36,87,97,35.9
40,Plaster Rock,CA,2021-10-11 21:19:02,46.9065,-67.39,65.12,78,59,1.77
41,Torbay,CA,2021-10-11 21:15:30,47.6666,-52.7314,52.29,93,75,5.75
42,Port Alfred,ZA,2021-10-11 21:19:04,-33.5906,26.891,68.63,65,72,2.68
43,San Patricio,US,2021-10-11 21:19:04,28.017,-97.5169,86.72,66,95,11.92
44,Coihaique,CL,2021-10-11 21:16:24,-45.5752,-72.0662,56.01,44,75,5.75
45,Okhotsk,RU,2021-10-11 21:19:05,59.3833,143.3,23.38,82,4,7.4
46,Cape Town,ZA,2021-10-11 21:15:49,-33.9258,18.4232,64.27,85,0,1.99
47,Trojes,AL,2021-10-11 21:19:05,41.756,19.962,50.49,86,100,7.7
48,Celestun,MX,2021-10-11 21:19:06,20.8667,-90.4,86.54,69,8,11.41
49,Bluff,NZ,2021-10-11 21:19:06,-46.6,168.3333,43.81,65,96,20.94
50,Lethem,GY,2021-10-11 21:19:06,3.3803,-59.7968,93.25,52,20,13.8
51,Arraial Do Cabo,BR,2021-10-11 21:14:53,-22.9661,-42.0278,67.86,88,75,11.5
52,Rikitea,PF,2021-10-11 21:19:07,-23.1203,-134.9692,74.21,76,87,13.0
53,Kaitangata,NZ,2021-10-11 21:19:09,-46.2817,169.8464,43.83,77,100,16.51
54,Tucuman,AR,2021-10-11 21:17:45,-26.8241,-65.2226,86.0,35,40,9.22
55,Beringovskiy,RU,2021-10-11 21:19:09,63.05,179.3167,23.34,90,80,2.01
56,Namatanai,PG,2021-10-11 21:19:10,-3.6667,152.4333,81.18,78,37,7.02
57,Carnarvon,AU,2021-10-11 21:14:31,-24.8667,113.6333,60.87,63,75,21.85
58,Adrar,MR,2021-10-11 21:19:11,20.5022,-10.0711,90.52,13,18,4.43
59,Vardo,NO,2021-10-11 21:19:11,70.3705,31.1107,43.0,96,100,6.02
60,Klaksvik,FO,2021-10-11 21:19:11,62.2266,-6.589,41.92,69,100,9.35
61,Rabo De Peixe,PT,2021-10-11 21:19:12,37.8,-25.5833,69.31,94,75,8.05
62,Busselton,AU,2021-10-11 21:19:12,-33.65,115.3333,45.05,63,91,15.99
63,Ramgarh,IN,2021-10-11 21:19:12,23.6333,85.5167,78.85,80,4,3.76
64,Albany,US,2021-10-11 21:19:13,42.6001,-73.9662,71.8,75,33,1.01
65,Rutland,US,2021-10-11 21:19:13,43.6167,-73.0162,71.26,71,1,9.22
66,Naze,JP,2021-10-11 21:19:14,28.3667,129.4833,77.2,87,99,16.96
67,Broken Hill,AU,2021-10-11 21:19:14,-31.95,141.4333,49.82,41,3,4.47
68,East London,ZA,2021-10-11 21:19:14,-33.0153,27.9116,69.44,60,79,8.68
69,Sompeta,IN,2021-10-11 21:19:15,18.9333,84.6,79.97,81,67,4.34
70,Tasiilaq,GL,2021-10-11 21:19:15,65.6145,-37.6368,35.76,69,34,3.78
71,Tiruchchirappalli,IN,2021-10-11 21:19:15,10.8167,78.6833,77.11,94,75,5.75
72,Ponta Do Sol,PT,2021-10-11 21:19:16,32.6667,-17.1,73.0,76,81,5.37
73,Puerto Ayora,EC,2021-10-11 21:19:16,-0.7393,-90.3518,76.96,81,97,5.99
74,Stokmarknes,NO,2021-10-11 21:19:16,68.5646,14.9108,46.49,93,75,9.22
75,Barrow,US,2021-10-11 21:19:17,71.2906,-156.7887,28.42,69,90,10.36
76,Baghdad,IQ,2021-10-11 21:19:17,33.3406,44.4009,69.71,35,0,1.14
77,Qasigiannguit,GL,2021-10-11 21:19:18,68.8193,-51.1922,26.85,81,100,4.81
78,Vaini,TO,2021-10-11 21:14:24,-21.2,-175.2,75.36,78,20,11.5
79,Tazovskiy,RU,2021-10-11 21:17:28,67.4667,78.7,28.35,74,100,6.35
80,Mochicahui,MX,2021-10-11 21:19:18,25.9333,-108.9333,89.42,29,0,14.43
81,Bauchi,NG,2021-10-11 21:19:18,10.5,10.0,77.23,44,100,3.02
82,Banjarmasin,ID,2021-10-11 21:19:19,-3.3244,114.591,77.14,92,100,1.74
83,Itarema,BR,2021-10-11 21:19:19,-2.9248,-39.9167,79.72,79,9,16.58
84,Yantal,RU,2021-10-11 21:19:19,56.8471,105.2542,26.13,94,100,3.85
85,Tessalit,ML,2021-10-11 21:19:20,20.1986,1.0114,87.66,9,14,9.37
86,Salinopolis,BR,2021-10-11 21:19:20,-0.6136,-47.3561,81.9,72,10,14.45
87,Viedma,AR,2021-10-11 21:17:33,-40.8135,-62.9967,65.48,43,100,12.8
88,Tromso,NO,2021-10-11 21:18:23,69.6496,18.957,42.82,93,75,4.61
89,Hobart,AU,2021-10-11 21:19:21,-42.8794,147.3294,48.11,84,40,1.01
90,Avarua,CK,2021-10-11 21:19:21,-21.2078,-159.775,78.85,83,75,12.66
91,Nzega,RW,2021-10-11 21:19:21,-2.479,29.5564,59.68,79,100,3.2
92,Udachnyy,RU,2021-10-11 21:19:22,66.4167,112.4,16.03,93,100,22.97
93,Alugan,PH,2021-10-11 21:19:22,12.2188,125.4808,81.39,77,100,11.7
94,Pemangkat,ID,2021-10-11 21:19:23,1.1667,108.9667,78.78,85,91,6.31
95,Bhabua,IN,2021-10-11 21:19:23,25.05,83.6167,73.98,67,0,2.62
96,Najran,SA,2021-10-11 21:19:23,17.4924,44.1277,74.05,28,10,4.45
97,Kailua,US,2021-10-11 21:19:24,21.4022,-157.7394,85.98,65,40,14.97
98,Poum,NC,2021-10-11 21:19:24,-20.2333,164.0167,75.02,74,87,14.88
99,Villazon,BO,2021-10-11 21:19:24,-22.0866,-65.5942,68.72,16,0,18.32
100,Vila,PT,2021-10-11 21:19:25,42.0304,-8.1588,54.48,35,63,5.3
101,Cayenne,GF,2021-10-11 21:19:25,4.9333,-52.3333,84.24,85,75,1.01
102,Rio Gallegos,AR,2021-10-11 21:17:21,-51.6226,-69.2181,60.85,23,75,11.5
103,Atuona,PF,2021-10-11 21:19:26,-9.8,-139.0333,78.24,72,20,20.02
104,Amarante Do Maranhao,BR,2021-10-11 21:19:26,-5.5667,-46.7422,86.76,44,100,1.3
105,Bredasdorp,ZA,2021-10-11 21:19:26,-34.5322,20.0403,58.75,82,100,2.84
106,Mehamn,NO,2021-10-11 21:15:44,71.0357,27.8492,44.51,93,75,9.22
107,Jamestown,US,2021-10-11 21:15:20,42.097,-79.2353,74.79,67,1,5.01
108,Shahr-E Kord,IR,2021-10-11 21:19:27,32.3256,50.8644,42.57,39,0,4.61
109,Bac Lieu,VN,2021-10-11 21:19:27,9.285,105.7244,77.72,89,100,10.02
110,Constitucion,CL,2021-10-11 21:19:28,-35.3333,-72.4167,59.27,71,11,8.34
111,Asau,RO,2021-10-11 21:19:28,46.4333,26.4,49.75,81,100,3.58
112,Muisne,EC,2021-10-11 21:16:14,0.6,-80.0333,78.91,80,93,7.87
113,Havre-Saint-Pierre,CA,2021-10-11 21:19:28,50.2334,-63.5986,59.59,87,1,8.05
114,Tiznit,MA,2021-10-11 21:16:17,29.5833,-9.5,64.26,83,44,2.57
115,Alofi,NU,2021-10-11 21:19:29,-19.0595,-169.9187,76.89,73,40,11.5
116,Soe,ID,2021-10-11 21:19:29,-9.8607,124.284,65.25,80,98,2.39
117,Luba,GQ,2021-10-11 21:19:30,3.4568,8.5547,80.53,79,95,1.99
118,Deputatskiy,RU,2021-10-11 21:19:30,69.3,139.9,20.48,97,100,2.1
119,La Paz,BO,2021-10-11 21:14:47,-16.5,-68.15,66.18,39,75,16.11
120,Itaborai,BR,2021-10-11 21:19:32,-22.7444,-42.8594,68.52,96,99,6.13
121,Mar Del Plata,AR,2021-10-11 21:19:32,-38.0023,-57.5575,59.02,30,0,5.01
122,Ngunguru,NZ,2021-10-11 21:19:32,-35.6167,174.5,56.16,89,100,15.32
123,Coquimbo,CL,2021-10-11 21:19:33,-29.9533,-71.3436,60.53,67,0,12.66
124,Gannan,CN,2021-10-11 21:19:33,47.9147,123.5031,44.24,61,2,1.41
125,Astoria,US,2021-10-11 21:19:33,46.1879,-123.8313,57.09,66,1,3.0
126,Pevek,RU,2021-10-11 21:19:34,69.7008,170.3133,16.2,90,100,7.4
127,Eureka,US,2021-10-11 21:19:34,40.8021,-124.1637,62.67,66,1,10.0
128,Hithadhoo,MV,2021-10-11 21:15:49,-0.6,73.0833,82.4,73,100,16.22
129,Brae,GB,2021-10-11 21:19:34,60.3964,-1.353,46.31,70,96,17.07
130,Aguimes,ES,2021-10-11 21:19:35,27.9054,-15.4461,69.66,65,20,9.22
131,Tugaya,PH,2021-10-11 21:19:35,7.8828,124.174,68.02,90,96,5.37
132,Motala,SE,2021-10-11 21:19:36,58.5371,15.0365,47.98,82,72,8.23
133,Shingu,JP,2021-10-11 21:19:36,33.7333,135.9833,70.56,91,77,3.4
134,Kavieng,PG,2021-10-11 21:19:36,-2.5744,150.7967,82.42,73,38,7.7
135,Oistins,BB,2021-10-11 21:19:37,13.0667,-59.5333,86.09,70,20,10.36
136,Ribeira Grande,PT,2021-10-11 21:19:37,38.5167,-28.7,70.84,79,100,7.16
137,Lebu,CL,2021-10-11 21:16:01,-37.6167,-73.65,55.26,75,100,15.23
138,Vao,NC,2021-10-11 21:19:37,-22.6667,167.4833,71.37,69,98,14.16
139,Casa Grande,US,2021-10-11 21:19:38,32.8795,-111.7573,87.53,13,1,11.99
140,Narsaq,GL,2021-10-11 21:19:38,60.9167,-46.05,34.02,55,100,3.62
141,Virginia Beach,US,2021-10-11 21:15:15,36.8529,-75.978,71.64,88,100,1.99
142,Rundu,NA,2021-10-11 21:19:39,-17.9333,19.7667,76.51,31,0,10.16
143,Anadyr,RU,2021-10-11 21:19:39,64.75,177.4833,18.1,92,20,1.99
144,Esperance,AU,2021-10-11 21:19:39,-33.8667,121.9,44.44,68,90,26.13
145,Sabha,LY,2021-10-11 21:19:40,27.0377,14.4283,76.95,23,74,9.98
146,Dunedin,NZ,2021-10-11 21:18:35,-45.8742,170.5036,45.81,72,100,25.99
147,Tautira,PF,2021-10-11 21:19:41,-17.7333,-149.15,84.22,79,41,14.41
148,Pisco,PE,2021-10-11 21:19:41,-13.7,-76.2167,64.45,77,40,10.36
149,Solnechnyy,RU,2021-10-11 21:19:42,50.7214,136.6319,36.97,67,27,3.8
150,Jalakandapuram,IN,2021-10-11 21:19:42,11.6978,77.873,73.83,96,100,1.54
151,Kalianget,ID,2021-10-11 21:19:42,-7.05,113.9333,79.99,73,75,4.72
152,Zhuhai,CN,2021-10-11 21:19:43,22.2769,113.5678,76.05,68,20,25.32
153,Lucea,JM,2021-10-11 21:19:43,18.451,-78.1736,85.86,64,4,3.06
154,Staronizhestebliyevskaya,RU,2021-10-11 21:19:44,45.3767,38.4517,52.11,67,94,4.63
155,Qianan,CN,2021-10-11 21:19:44,44.9932,124.0581,44.92,55,0,7.2
156,Fortuna,US,2021-10-11 21:19:44,40.5982,-124.1573,62.42,60,1,5.01
157,Dagana,MR,2021-10-11 21:19:45,16.5165,-15.5068,85.78,39,51,15.28
158,Kieta,PG,2021-10-11 21:19:45,-6.2167,155.6333,80.46,80,94,3.02
159,Upernavik,GL,2021-10-11 21:19:45,72.7868,-56.1549,33.71,99,100,16.33
160,Puerto Escondido,MX,2021-10-11 21:19:47,15.85,-97.0667,88.63,55,75,14.97
161,Balgazyn,RU,2021-10-11 21:19:47,51.0,95.2,34.12,75,100,2.48
162,Talnakh,RU,2021-10-11 21:19:48,69.4865,88.3972,20.39,96,100,6.46
163,Palaia Fokaia,GR,2021-10-11 21:19:48,37.72,23.9463,70.75,70,2,8.25
164,Isangel,VU,2021-10-11 21:19:48,-19.55,169.2667,78.91,69,20,9.22
165,Nanlong,CN,2021-10-11 21:19:49,31.3533,106.0631,57.52,91,100,3.02
166,Merauke,ID,2021-10-11 21:19:49,-8.4667,140.3333,77.67,86,86,8.43
167,Korla,CN,2021-10-11 21:19:49,41.7597,86.1469,49.26,41,98,7.18
168,Trairi,BR,2021-10-11 21:18:25,-3.2778,-39.2689,79.56,75,39,12.44
169,Vila Franca Do Campo,PT,2021-10-11 21:19:50,37.7167,-25.4333,70.21,89,100,11.21
170,Ballachulish,GB,2021-10-11 21:19:50,56.6774,-5.1308,54.41,94,100,1.99
171,Vestmannaeyjar,IS,2021-10-11 21:19:51,63.4427,-20.2734,45.54,77,90,17.52
172,Hamilton,US,2021-10-11 21:19:20,39.1834,-84.5333,82.36,63,1,1.01
173,Thompson,CA,2021-10-11 21:19:51,55.7435,-97.8558,48.36,87,90,3.44
174,Qianguo,CN,2021-10-11 21:19:51,45.1171,124.8568,45.03,60,0,6.6
175,Manglisi,GE,2021-10-11 21:19:52,41.697,44.3845,41.59,95,43,4.05
176,Kiruna,SE,2021-10-11 21:17:35,67.8557,20.2251,38.32,87,90,10.36
177,Razole,IN,2021-10-11 21:19:52,16.4833,81.8333,77.34,86,65,1.68
178,Punta Cardon,VE,2021-10-11 21:19:53,11.6581,-70.215,85.69,70,64,7.47
179,Logstor,DK,2021-10-11 21:19:53,56.9624,9.2583,49.87,74,38,18.99
180,Paracuru,BR,2021-10-11 21:19:53,-3.41,-39.0306,82.42,74,50,12.57
181,Port Elizabeth,ZA,2021-10-11 21:19:54,-33.918,25.5701,59.29,72,40,5.75
182,Lagoa,PT,2021-10-11 21:19:54,39.05,-27.9833,69.66,85,100,7.85
183,Kurilsk,RU,2021-10-11 21:19:54,45.2333,147.8833,51.21,74,42,12.86
184,Itumbiara,BR,2021-10-11 21:19:55,-18.4192,-49.2153,82.36,62,67,3.09
185,Muros,ES,2021-10-11 21:19:55,42.7762,-9.0603,61.99,77,14,8.86
186,Tsogni,GA,2021-10-11 21:19:56,-2.7942,10.0988,76.68,85,97,5.57
187,Ayr,GB,2021-10-11 21:19:56,55.4627,-4.6339,54.48,94,75,11.5
188,Plon,DE,2021-10-11 21:19:56,54.1667,10.4167,48.25,90,94,3.0
189,Saint-Louis,SN,2021-10-11 21:19:57,16.3333,-15.0,89.51,29,76,15.86
190,Cuxhaven,DE,2021-10-11 21:18:49,53.8718,8.6909,52.0,76,20,12.66
191,Boshnyakovo,RU,2021-10-11 21:19:57,49.6333,142.1667,43.16,74,39,9.57
192,Kulhudhuffushi,MV,2021-10-11 21:19:57,6.6221,73.07,82.29,78,100,18.92
193,Tiksi,RU,2021-10-11 21:19:58,71.6872,128.8694,26.96,99,100,2.84
194,Chokurdakh,RU,2021-10-11 21:19:58,70.6333,147.9167,16.54,90,100,5.08
195,Nyurba,RU,2021-10-11 21:19:58,63.2842,118.3319,23.92,61,99,12.41
196,Chuy,UY,2021-10-11 21:19:59,-33.6971,-53.4616,60.85,93,100,14.76
197,Saint-Philippe,RE,2021-10-11 21:19:59,-21.3585,55.7679,74.79,89,80,2.86
198,Lishan,CN,2021-10-11 21:20:00,31.8576,113.2951,54.9,60,96,7.29
199,Natal,BR,2021-10-11 21:19:51,-5.795,-35.2094,81.25,78,20,8.05
200,Kruisfontein,ZA,2021-10-11 21:20:00,-34.0033,24.7314,67.24,24,92,6.64
201,Whitianga,NZ,2021-10-11 21:20:01,-36.8333,175.7,52.63,91,100,13.27
202,Vanimo,PG,2021-10-11 21:20:01,-2.6741,141.3028,78.21,86,75,2.48
203,Cap Malheureux,MU,2021-10-11 21:20:01,-19.9842,57.6142,74.46,87,81,3.0
204,Bambous Virieux,MU,2021-10-11 21:20:03,-20.3428,57.7575,74.21,94,40,4.61
205,Aviles,ES,2021-10-11 21:20:04,43.5547,-5.9248,59.94,88,20,8.05
206,Jumla,NP,2021-10-11 21:20:05,29.2747,82.1838,50.4,69,0,5.17
207,Wanning,CN,2021-10-11 21:20:05,18.8003,110.3967,75.09,85,73,14.09
208,Port Hardy,CA,2021-10-11 21:15:55,50.6996,-127.4199,46.4,93,90,5.75
209,Xiaoweizhai,CN,2021-10-11 21:20:06,26.1903,107.5125,52.66,88,97,7.83
210,Cidreira,BR,2021-10-11 21:15:29,-30.1811,-50.2056,62.47,91,100,21.18
211,Ranong,TH,2021-10-11 21:20:07,9.9658,98.6348,79.57,88,99,16.24
212,Pinsk,BY,2021-10-11 21:20:07,52.1229,26.0951,44.6,57,100,6.22
213,Sakakah,SA,2021-10-11 21:20:07,29.9697,40.2064,83.77,18,38,2.33
214,Abhar,IR,2021-10-11 21:20:08,36.1468,49.218,47.19,77,4,1.86
215,New Norfolk,AU,2021-10-11 21:20:08,-42.7826,147.0587,47.75,73,87,2.13
216,Zhigansk,RU,2021-10-11 21:20:09,66.7697,123.3711,22.55,93,100,13.73
217,Marsh Harbour,BS,2021-10-11 21:20:09,26.5412,-77.0636,82.51,66,100,8.97
218,Mareeba,AU,2021-10-11 21:20:10,-17.0,145.4333,70.52,88,93,0.96
219,Buala,SB,2021-10-11 21:16:38,-8.145,159.5921,82.45,71,65,2.24
220,Ancud,CL,2021-10-11 21:20:10,-41.8697,-73.8203,60.33,76,100,8.03
221,Fare,PF,2021-10-11 21:20:11,-16.7,-151.0167,79.57,79,16,16.2
222,Ust-Kulom,RU,2021-10-11 21:20:11,61.6864,53.6902,46.63,96,100,6.73
223,Bemidji,US,2021-10-11 21:20:07,47.4736,-94.8803,68.29,49,1,11.5
224,Alberton,CA,2021-10-11 21:20:12,46.8168,-64.0654,64.53,76,25,3.02
225,Edgewater,US,2021-10-11 21:20:12,28.9889,-80.9023,85.15,61,3,6.53
226,Sorland,NO,2021-10-11 21:20:12,67.667,12.6934,42.87,69,99,23.0
227,Half Moon Bay,US,2021-10-11 21:17:21,37.4636,-122.4286,72.41,45,1,17.27
228,Harper,LR,2021-10-11 21:20:13,4.375,-7.7169,78.08,86,92,6.17
229,Hami,CN,2021-10-11 21:20:13,42.8,93.45,45.88,45,13,8.57
230,Faanui,PF,2021-10-11 21:20:14,-16.4833,-151.75,79.97,78,39,16.53
231,Ozernovskiy,RU,2021-10-11 21:20:14,51.5,156.5167,45.91,91,100,25.99
232,Sovetskaya Gavan,RU,2021-10-11 21:20:14,48.9723,140.2878,40.17,71,0,5.1
233,Fuerte Olimpo,PY,2021-10-11 21:20:15,-21.0415,-57.8738,79.61,78,84,3.02
234,Gat,IL,2021-10-11 21:20:15,31.61,34.7642,76.41,68,37,5.97
235,Iqaluit,CA,2021-10-11 21:20:15,63.7506,-68.5145,35.33,87,40,4.0
236,Iquitos,PE,2021-10-11 21:20:16,-3.7481,-73.2472,82.44,83,75,2.3
237,Moba,CN,2021-10-11 21:20:16,33.2288,105.0179,44.38,93,100,5.03
238,Mahebourg,MU,2021-10-11 21:20:16,-20.4081,57.7,74.25,94,40,4.61
239,Zeerust,ZA,2021-10-11 21:20:17,-25.5369,26.0751,61.93,42,0,4.43
240,Hailey,US,2021-10-11 21:20:17,43.5196,-114.3153,38.89,82,90,3.44
241,Luderitz,NA,2021-10-11 21:20:18,-26.6481,15.1594,68.29,48,0,8.1
242,Camana,PE,2021-10-11 21:20:18,-16.6228,-72.7111,63.16,85,70,6.35
243,Grebanu,RO,2021-10-11 21:20:18,45.3833,26.9667,49.93,59,100,3.11
244,Noumea,NC,2021-10-11 21:20:19,-22.2763,166.4572,78.78,99,67,2.57
245,Saskylakh,RU,2021-10-11 21:20:19,71.9167,114.0833,26.56,96,100,14.74
246,Mecca,SA,2021-10-11 21:20:19,21.4267,39.8261,87.64,34,3,5.37
247,Roald,NO,2021-10-11 21:20:20,62.5833,6.1333,44.74,93,75,8.05
248,Danjiangkou,CN,2021-10-11 21:20:20,32.5428,111.5086,54.97,59,94,2.42
249,Doha,QA,2021-10-11 21:17:03,25.2867,51.5333,85.98,72,0,9.22
250,Castro,BR,2021-10-11 21:20:20,-24.7911,-50.0119,57.31,97,100,8.08
251,Oksbol,DK,2021-10-11 21:20:21,55.6268,8.2876,50.11,85,90,24.4
252,Codrington,AU,2021-10-11 21:20:21,-38.2667,141.9667,39.56,89,15,8.57
253,Elko,US,2021-10-11 21:18:35,41.0002,-115.5012,37.42,67,100,15.01
254,Kidal,ML,2021-10-11 21:20:21,18.4411,1.4078,88.09,9,2,11.52
255,Entebbe,UG,2021-10-11 21:20:22,0.0644,32.4469,71.92,88,20,0.0
256,Komsomolskiy,UZ,2021-10-11 21:20:22,40.4272,71.7189,44.02,44,0,1.97
257,Flin Flon,CA,2021-10-11 21:20:22,54.7682,-101.865,49.84,71,90,8.05
258,Westerly,US,2021-10-11 21:20:23,41.3776,-71.8273,71.91,71,1,11.5
259,Tuatapere,NZ,2021-10-11 21:20:23,-46.1333,167.6833,42.08,85,100,11.72
260,Springdale,US,2021-10-11 21:19:07,36.1867,-94.1288,71.33,64,90,11.01
261,Amahai,ID,2021-10-11 21:20:24,-3.3333,128.9167,78.31,88,54,2.21
262,Lompoc,US,2021-10-11 21:20:24,34.6391,-120.4579,77.56,58,1,20.71
263,Saint George,US,2021-10-11 21:16:42,37.1041,-113.5841,79.27,18,1,11.01
264,Marrakesh,MA,2021-10-11 21:20:24,31.6315,-8.0083,71.67,60,40,8.05
265,Margate,GB,2021-10-11 21:20:25,51.3813,1.3862,51.96,88,78,8.05
266,Sitka,US,2021-10-11 21:20:25,57.0531,-135.33,48.09,71,90,16.11
267,Hofn,IS,2021-10-11 21:20:26,64.2539,-15.2082,39.4,71,89,9.57
268,Santa Maria,BR,2021-10-11 21:20:26,-29.6842,-53.8069,67.86,91,38,5.73
269,Kaseda,JP,2021-10-11 21:20:26,31.4167,130.3167,72.63,87,74,8.84
270,Port Blair,IN,2021-10-11 21:20:27,11.6667,92.75,80.89,84,100,14.83
271,Dunmore Town,BS,2021-10-11 21:20:27,25.5,-76.65,81.68,66,100,4.07
272,Nago,JP,2021-10-11 21:20:27,26.5881,127.9761,82.56,93,100,18.41
273,Sibolga,ID,2021-10-11 21:20:28,1.7427,98.7792,75.63,85,100,2.55
274,Tumpat,MY,2021-10-11 21:20:28,6.1978,102.171,78.78,94,98,2.3
