City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Provideniya,RU,64.3833,-173.3,24.62,66,100,11.77,overcast clouds
80,Touros,BR,-5.1989,-35.4608,88.7,61,62,13.58,broken clouds
81,Fairfield,US,41.2668,-73.3162,70.3,61,1,1.99,clear sky
82,Ancud,CL,-41.8697,-73.8203,52.65,56,21,9.19,few clouds
83,Launceston,AU,-41.45,147.1667,57.15,93,75,1.01,light rain
84,Mar Del Plata,AR,-38.0023,-57.5575,59.09,90,90,1.01,light rain
85,Buzmeyin,TM,38.0507,58.2056,51.53,62,0,11.5,clear sky
86,Nova Aurora,BR,-22.8667,-52.5667,80.15,44,0,7.58,clear sky
87,Cidreira,BR,-30.1811,-50.2056,71.78,62,0,7.83,clear sky
88,Gumaus,PH,14.3103,122.7229,77.76,91,87,6.73,overcast clouds
89,Tura,IN,25.5198,90.2201,66.34,73,1,4.0,clear sky
90,Airai,TL,-8.9266,125.4092,63.0,80,82,2.3,broken clouds
91,Shelburne,CA,44.0787,-80.2041,42.57,82,89,9.48,overcast clouds
92,Qaanaaq,GL,77.484,-69.3632,-1.61,68,0,8.43,clear sky
93,Raudeberg,NO,61.9875,5.1352,45.27,80,100,4.0,overcast clouds
94,Nishihara,JP,26.1842,127.7558,72.68,60,75,17.27,broken clouds
95,Butia,BR,-30.1197,-51.9622,80.19,38,0,3.42,clear sky
96,Inuvik,CA,68.3499,-133.7218,24.89,85,98,5.19,overcast clouds
97,Pevek,RU,69.7008,170.3133,13.26,93,100,9.33,light snow
98,Goure,NE,13.9835,10.2704,96.03,24,34,10.31,scattered clouds
99,Berlevag,NO,70.8578,29.0864,33.8,64,75,19.57,light shower snow
100,Nanortalik,GL,60.1432,-45.2371,38.89,98,100,5.01,moderate rain
101,Chokurdakh,RU,70.6333,147.9167,-14.98,100,96,2.3,overcast clouds
102,Suyan,PH,6.0603,125.3853,76.44,88,91,1.05,moderate rain
103,Calatayud,ES,41.3535,-1.6432,68.58,55,13,15.9,few clouds
104,Lebu,CL,-37.6167,-73.65,53.96,64,76,18.03,broken clouds
105,Rantepao,ID,-2.9701,119.8978,65.82,92,72,2.86,broken clouds
106,Avarua,CK,-21.2078,-159.775,69.85,64,40,5.75,scattered clouds
107,Hithadhoo,MV,-0.6,73.0833,81.39,75,24,7.99,few clouds
108,Bambous Virieux,MU,-20.3428,57.7575,75.22,76,83,8.88,broken clouds
109,Basco,PH,20.4487,121.9702,79.93,82,99,30.04,light rain
110,Imbituba,BR,-28.24,-48.6703,78.69,60,0,10.67,clear sky
111,Taltal,CL,-25.4,-70.4833,62.13,67,7,8.14,clear sky
112,Ushtobe,KZ,45.2514,77.9838,42.12,50,100,2.44,overcast clouds
113,Huarmey,PE,-10.0681,-78.1522,69.87,73,39,10.83,scattered clouds
114,Bethel,US,41.3712,-73.414,69.98,66,7,8.41,clear sky
115,Iqaluit,CA,63.7506,-68.5145,25.7,79,61,17.0,broken clouds
116,Roald,NO,62.5833,6.1333,45.34,76,75,23.02,broken clouds
117,Hobart,AU,-42.8794,147.3294,58.12,90,90,11.5,light rain
118,Cross Lanes,US,38.4204,-81.7907,55.89,84,90,4.0,overcast clouds
119,Egvekinot,RU,66.3167,-179.1667,11.57,88,100,6.73,overcast clouds
120,Georgetown,MY,5.4112,100.3354,80.89,89,40,8.05,scattered clouds
